Plan zajêæ na studiach zaocznych i podyplomowych
Data	Od godz.	Sala 1	Sala 2	Przedmiot	Prowadz¹cy	Godzin	Do godz.
2011-06-27	09.00	A2-14	 	MRP180 1WA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	11.15
2011-06-27	11.30	A2-14	 	DYD182 1WA - Dydaktyka matematyki	Sierocka Janina	3	13.45
2011-06-27	14.00	A2-14	 	DYD182 1CA - Dydaktyka matematyki	Sierocka Janina	3	16.15
2011-06-28	09.00	aula A	 	DYD182 1WA - Dydaktyka matematyki	Sierocka Janina	3	11.15
2011-06-28	11.30	A0-01	 	INT180 1WA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	1	12.15
2011-06-28	12.15	A0-01	 	INT180 1CA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	2	13.45
2011-06-28	14.00	A0-01	 	INT180 1CA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	16.15
2011-06-29	09.00	A0-01	 	INT180 1WA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	11.15
2011-06-29	11.30	A2-14	 	KON180 1CA - Konwersatorium z matematyki szkolnej	Sierocka Janina	3	13.45
2011-06-29	14.00	A2-14	 	KON180 1CA - Konwersatorium z matematyki szkolnej	Sierocka Janina	3	16.15
2011-06-30	09.00	A2-14	 	MRP180 1WA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	11.15
2011-06-30	11.30	A0-01	 	INT180 1WA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	13.45
2011-06-30	14.00	A0-01	 	INT180 1CA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	16.15
2011-07-01	09.00	A2-14	 	DYD182 1CA - Dydaktyka matematyki	Sierocka Janina	3	11.15
2011-07-01	11.30	A2-14	 	MRP180 1CA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	13.45
2011-07-01	14.00	A2-14	 	MRP180 1CA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	16.15
2011-07-02	09.00	A2-14	 	MRP180 1CA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	11.15
2011-07-02	11.30	A2-14	 	DYD182 1WA - Dydaktyka matematyki	Sierocka Janina	3	13.45
2011-07-02	14.00	A2-14	 	DYD182 1WA - Dydaktyka matematyki	Sierocka Janina	3	16.15
2011-07-03	09.00	A0-01	 	INT180 1CA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	11.15
2011-07-03	11.30	A2-14	 	DYD182 1CA - Dydaktyka matematyki	Sierocka Janina	3	13.45
2011-07-03	14.00	A2-14	 	DYD182 1CA - Dydaktyka matematyki	Sierocka Janina	3	16.15
2011-09-17	09.00	A2-24	 	KON180 1CA - Konwersatorium z matematyki szkolnej	Sierocka Janina	3	11.15
2011-09-17	09.00	A2-14	A2-19	REZ1 1WA - Rezerwacja Fizyka	Machowski Stanis³aw	4	12.15
2011-09-17	09.00	A0-01	 	REZ2 1WA - Rezerwacja - nasi pracownicy	Karolak Tomasz	4	12.15
2011-09-17	11.30	A2-24	 	MRP180 1CA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	13.45
2011-09-17	12.30	A2-14	A2-19	REZ1 1WA - Rezerwacja Fizyka	Machowski Stanis³aw	4	15.45
2011-09-17	12.30	A0-01	 	REZ1 1WA - Rezerwacja Fizyka	Karolak Tomasz	4	15.45
2011-09-17	14.00	A2-24	 	MRP180 1WA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	16.15
2011-09-17	16.00	A2-14	A2-19	REZ1 1WA - Rezerwacja Fizyka	Machowski Stanis³aw	4	19.15
2011-09-17	16.00	A0-01	 	REZ1 1WA - Rezerwacja Fizyka	Karolak Tomasz	4	19.15
2011-09-18	09.00	A2-24	 	MRP180 1CA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	11.15
2011-09-18	11.30	A2-24	 	DYD182 1WA - Dydaktyka matematyki	Sierocka Janina	3	13.45
2011-09-18	14.00	A2-24	 	DYD182 1CA - Dydaktyka matematyki	Sierocka Janina	3	16.15
2011-09-23	13.00	A0-01	 	ZTIE LMO 1CA - Technologia informacyjna w edukacji	Karolak Tomasz	3	15.15
2011-09-23	15.30	A2-21	 	ZDIN LMO 1WA - Dydaktyka informatyki	Ren-Kurc Anna	3	17.45
2011-09-23	18.00	A0-01	 	ZDIN LMO 1CA - Dydaktyka informatyki	Ren-Kurc Anna	3	20.15
2011-09-24	08.15	A2-21	 	ZSOP LMO 1WA - Systemy operacyjne	Hañækowiak Micha³	3	10.30
2011-09-24	09.00	A0-01	 	INT180 1WA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	11.15
2011-09-24	09.00	D-1	 	DIN161 1WA - Dydaktyka Informatyki 2	Ko³owska-Gawiejnowicz Miros³awa	3	11.15
2011-09-24	10.45	A1-14	A1-15	ZSOP LMO 1CA - Systemy operacyjne	Hañækowiak Micha³	3	13.00
2011-09-24	11.30	A2-24	 	KON180 1CA - Konwersatorium z matematyki szkolnej	Sierocka Janina	3	13.45
2011-09-24	11.30	D-1	 	PRG160 0CA - Projekt Dyplomowy	Bondecka-Krzykowska Izabela	3	13.45
2011-09-24	11.30	aula B	 	REZ2 1WA - Rezerwacja - nasi pracownicy	Sierocka Janina	2	13.00
2011-09-24	13.30	A0-12	 	ZKME LMO 1CA - Konwersatorium z matematyki elementarnej	Maciejewska Aleksandra	3	15.45
2011-09-24	14.00	A2-24	 	KON180 1CA - Konwersatorium z matematyki szkolnej	Sierocka Janina	3	16.15
2011-09-24	14.00	D-1	 	PRG160 0CA - Projekt Dyplomowy	Bondecka-Krzykowska Izabela	3	16.15
2011-09-25	09.00	A0-01	 	INT180 1CA - Podstawy informatyki i technologie informacyjne	Dutkiewicz Aldona	3	11.15
2011-09-25	09.00	D-1	 	PIO160 0WA - Projektowanie i In¿ynieria Oprogramowania	Pi³ka Tomasz	3	11.15
2011-09-25	11.30	A2-24	 	MRP180 1WA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	13.45
2011-09-25	11.30	D-1	 	PIO160 0WA - Projektowanie i In¿ynieria Oprogramowania	Pi³ka Tomasz	3	13.45
2011-09-25	14.00	A2-24	 	MRP180 1CA - Rachunek prawdopodoieñstwa	Katulska Krystyna	3	16.15
2011-09-25	14.00	D-1	 	PIO160 0CA - Projektowanie i In¿ynieria Oprogramowania	Pi³ka Tomasz	3	16.15
2011-09-30	13.00	A2-24	 	ZMAD LMO 1WA - Matematyka dyskretna	Jaworski Jerzy	3	15.15
2011-09-30	13.00	A2-21	 	ZANA LM3 1WA - Analiza matematyczna 3	Przybycieñ Hubert	3	15.15
2011-09-30	13.00	A2-14	 	ZSPE UM2 1WA - Przedmiot specjalizacyjny 2	Cichoñ Mieczys³aw	3	15.15
2011-09-30	15.30	A2-14	 	ZSPE UM2 1CA - Przedmiot specjalizacyjny 2	Cichoñ Mieczys³aw	3	17.45
2011-09-30	15.30	A2-24	 	ZDIN LMO 1WA - Dydaktyka informatyki	Ren-Kurc Anna	3	17.45
2011-09-30	15.30	A2-21	 	ZJAN LM3 1CA - Jêzyk angielski	Leœkiewicz Anna	3	17.45
2011-09-30	15.30	A2-22	 	ZJAN LM3 1CB - Jêzyk angielski	Kowalewski Tomasz	3	17.45
2011-09-30	18.00	A2-21	 	ZBAD LMO 1WA - Bazy danych	Kaczmarek Jan	3	20.15
2011-09-30	18.00	A2-14	 	ZSEM UM3 1CA - Seminarium magiosterskie 3	Kubiaczyk Ireneusz	3	20.15
2011-09-30	18.00	A2-05	 	ZSEM UM3 1CB - Seminarium magiosterskie 3	Grzybowski Jerzy	3	20.15
2011-09-30	18.00	A0-01	 	ZDIN LMO 1CA - Dydaktyka informatyki	Ren-Kurc Anna	3	20.15
2011-10-01	08.15	aula B	 	ANI LI2 1WA - Analiza matematyczna dla informatyków 2	K¹kol Jerzy	3	10.30
2011-10-01	08.15	A2-24	 	SPE LI2 1WA - Przedmiot specjalizacyjny 2	Szymañski Jerzy	3	10.30
2011-10-01	08.15	A2-19	 	ZRAP LMO 1WA - Rachunek prawdopodobieñstwa	Wachowiak Jan	3	10.30
2011-10-01	08.15	A0-01	 	ZTIE LMO 1CA - Technologia informacyjna w edukacji	Karolak Tomasz	3	10.30
